Iter,Raw_Sim_P,Raw_Sim_N,Trained_Sim_P,Trained_Sim_N
1,0.9932536683063904,0.9389095454044195,0.09616795054033116,0.09108715344653671
2,0.9954328116680097,0.9283871860882541,0.1066649848355459,0.08328880597767736
3,0.9570416127198559,0.9737359633820836,0.09108299956750655,0.07928314180741271
4,0.9954777537974538,0.9271471126198615,0.11294103252072846,0.08425407483758664
5,0.99106904105071,0.9211193648684892,0.09036238074387538,0.08161239141999549
